nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2023;14.04.2023;Guarani;Avai;1;0;4;1;2.1;2.88;3.89;2.56;https://www.flashscore.com/match/GIkSQfeT/#/match-summary
BRAZIL;SERIE B;ROUND 1;2023;14.04.2023;Ituano;Ceara;1;0;2;0;2.7;2.98;2.66;2.28;https://www.flashscore.com/match/l6KtpIei/#/match-summary
BRAZIL;SERIE B;ROUND 1;2023;15.04.2023;Vila Nova FC;Novorizontino;2;0;2;1;2.23;2.97;3.33;2.62;https://www.flashscore.com/match/MaSfME3p/#/match-summary
BRAZIL;SERIE B;ROUND 1;2023;15.04.2023;Sampaio Correa;Atletico GO;1;2;3;3;2.55;2.91;2.84;2.43;https://www.flashscore.com/match/MeCgsGuA/#/match-summary
BRAZIL;SERIE B;ROUND 1;2023;15.04.2023;Mirassol;Chapecoense-SC;0;0;1;0;2.16;2.97;3.47;2.45;https://www.flashscore.com/match/SdJpqxBc/#/match-summary
BRAZIL;SERIE B;ROUND 1;2023;15.04.2023;Juventude;Botafogo SP;0;1;1;2;1.92;3.1;4.1;2.38;https://www.flashscore.com/match/GIBctzeG/#/match-summary
BRAZIL;SERIE B;ROUND 1;2023;16.04.2023;Criciuma;Tombense;1;0;2;0;1.52;3.71;6.33;2.35;https://www.flashscore.com/match/0jRbLYIj/#/match-summary
BRAZIL;SERIE B;ROUND 1;2023;16.04.2023;Londrina;ABC;0;0;1;0;2.27;2.94;3.28;2.6;https://www.flashscore.com/match/f9A1ufAM/#/match-summary
BRAZIL;SERIE B;ROUND 1;2023;16.04.2023;Vitoria;Ponte Preta;2;0;3;0;2.42;3.02;2.92;2.35;https://www.flashscore.com/match/AL8krdQ3/#/match-summary
BRAZIL;SERIE B;ROUND 2;2023;21.04.2023;Atletico GO;CRB;2;0;2;1;1.74;3.41;4.67;2.26;https://www.flashscore.com/match/8GjxZimj/#/match-summary
BRAZIL;SERIE B;ROUND 2;2023;21.04.2023;Botafogo SP;Sampaio Correa;1;0;1;0;2.0;3.16;3.88;2.31;https://www.flashscore.com/match/OOYOdeuc/#/match-summary
BRAZIL;SERIE B;ROUND 2;2023;21.04.2023;Ponte Preta;Criciuma;1;2;1;2;2.55;2.93;2.92;2.58;https://www.flashscore.com/match/EgiYZXXq/#/match-summary
BRAZIL;SERIE B;ROUND 2;2023;22.04.2023;Tombense;Ituano;1;0;3;0;2.45;2.98;2.96;2.38;https://www.flashscore.com/match/pbPqhXgS/#/match-summary
BRAZIL;SERIE B;ROUND 2;2023;22.04.2023;Avai;Mirassol;0;0;1;0;2.38;2.96;3.07;2.35;https://www.flashscore.com/match/MJftYB2d/#/match-summary
BRAZIL;SERIE B;ROUND 2;2023;22.04.2023;Novorizontino;Juventude;1;0;1;0;2.12;2.98;3.66;2.35;https://www.flashscore.com/match/2FXSeFf3/#/match-summary
BRAZIL;SERIE B;ROUND 2;2023;22.04.2023;Ceara;Guarani;0;2;0;3;1.79;3.37;4.53;2.26;https://www.flashscore.com/match/lWVzfgPF/#/match-summary
BRAZIL;SERIE B;ROUND 2;2023;23.04.2023;Chapecoense-SC;Londrina;0;0;3;0;1.9;3.11;4.24;2.51;https://www.flashscore.com/match/WfLugDvM/#/match-summary
