nacao;campeonato;rodada;ano;dia;home;away;HGHT;AGHT;HGFT;AGFT;odd_home;odd_draw;odd_away;over25;endereco
BRAZIL;SERIE B;ROUND 1;2013;24.05.2013;Sao Caetano;Ceara;0;0;0;0;2.27;3.32;2.88;1.96;https://www.flashscore.com/match/OEJGoivn/#/match-summary
BRAZIL;SERIE B;ROUND 1;2013;24.05.2013;Oeste;Avai;0;1;1;1;2.8;3.22;2.37;1.98;https://www.flashscore.com/match/xIcoWBva/#/match-summary
BRAZIL;SERIE B;ROUND 1;2013;24.05.2013;Paysandu PA;ASA;1;1;1;1;2.07;3.35;3.25;1.94;https://www.flashscore.com/match/dtXNqV8b/#/match-summary
BRAZIL;SERIE B;ROUND 1;2013;24.05.2013;Boa;Chapecoense-SC;0;1;1;4;2.3;3.25;2.94;2.12;https://www.flashscore.com/match/G8dkVVg5/#/match-summary
BRAZIL;SERIE B;ROUND 1;2013;25.05.2013;Palmeiras;Atletico GO;0;0;1;0;1.64;3.45;4.97;1.8;https://www.flashscore.com/match/pOKCnXOu/#/match-summary
BRAZIL;SERIE B;ROUND 1;2013;25.05.2013;Joinville;Bragantino;2;0;3;0;2.01;3.3;3.28;1.82;https://www.flashscore.com/match/CzjbT9OH/#/match-summary
BRAZIL;SERIE B;ROUND 1;2013;25.05.2013;Icasa;Sport Recife;1;0;2;1;2.37;3.25;2.65;1.9;https://www.flashscore.com/match/6ck2STwO/#/match-summary
BRAZIL;SERIE B;ROUND 1;2013;25.05.2013;Figueirense;America RN;2;1;3;2;1.62;3.55;4.88;1.68;https://www.flashscore.com/match/YqifUk9B/#/match-summary
BRAZIL;SERIE B;ROUND 1;2013;25.05.2013;Guaratingueta;America MG;1;0;1;0;2.6;3.3;2.5;1.78;https://www.flashscore.com/match/IkYJpBgh/#/match-summary
BRAZIL;SERIE B;ROUND 1;2013;25.05.2013;ABC;Parana;0;2;0;2;2.1;3.25;3.35;2.02;https://www.flashscore.com/match/K0g6RmgU/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;Parana;Sao Caetano;0;0;0;0;1.9;3.35;3.78;2.0;https://www.flashscore.com/match/b9ggaA8o/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;Sport Recife;ABC;0;0;1;0;1.67;3.6;4.75;1.76;https://www.flashscore.com/match/Wbo6d8h4/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;Ceara;Paysandu PA;0;0;1;0;1.69;3.62;4.54;1.85;https://www.flashscore.com/match/rcJqu7NT/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;Avai;Guaratingueta;2;0;2;1;1.47;4.03;6.18;1.81;https://www.flashscore.com/match/nVPzsThH/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;America RN;Icasa;1;1;1;1;2.14;3.32;3.18;1.85;https://www.flashscore.com/match/p65BzRVp/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;Chapecoense-SC;Oeste;1;0;1;1;1.64;3.7;4.9;1.92;https://www.flashscore.com/match/QLOvtm8N/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;Bragantino;Boa;0;0;0;1;1.47;4.03;6.12;1.71;https://www.flashscore.com/match/h8n2clwb/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;Atletico GO;Joinville;0;0;2;1;1.78;3.42;4.22;1.78;https://www.flashscore.com/match/AqccbUNi/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;ASA;Palmeiras;0;3;0;3;3.25;3.3;2.1;1.96;https://www.flashscore.com/match/v5MSrkO4/#/match-summary
BRAZIL;SERIE B;ROUND 2;2013;28.05.2013;America MG;Figueirense;1;2;2;4;2.38;3.3;2.72;1.88;https://www.flashscore.com/match/h8QWs9wB/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;31.05.2013;Paysandu PA;America RN;1;1;1;1;2.1;3.32;3.2;1.8;https://www.flashscore.com/match/IVyt9oxA/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;31.05.2013;Joinville;ASA;2;0;2;0;1.44;3.92;7.35;1.85;https://www.flashscore.com/match/zirNhQiT/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;31.05.2013;Icasa;Avai;2;1;3;4;2.48;3.25;2.64;2.04;https://www.flashscore.com/match/hWUllp0p/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;31.05.2013;Oeste;Parana;1;0;1;0;2.65;3.22;2.5;2.05;https://www.flashscore.com/match/0YkAeS7A/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;31.05.2013;Figueirense;Sport Recife;2;0;3;2;1.74;3.62;4.25;1.72;https://www.flashscore.com/match/MmvJg6xN/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;31.05.2013;ABC;Ceara;1;1;1;1;2.9;3.2;2.33;1.97;https://www.flashscore.com/match/WMThm4Fj/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;01.06.2013;Palmeiras;America MG;0;1;0;1;1.38;4.38;7.65;1.85;https://www.flashscore.com/match/WEZTBmhi/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;01.06.2013;Bragantino;Guaratingueta;2;0;2;0;1.8;3.42;4.14;1.9;https://www.flashscore.com/match/4SXyARM3/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;01.06.2013;Sao Caetano;Chapecoense-SC;0;0;0;1;2.54;3.28;2.58;1.81;https://www.flashscore.com/match/A5YXA77c/#/match-summary
BRAZIL;SERIE B;ROUND 3;2013;01.06.2013;Boa;Atletico GO;0;0;0;0;3.12;3.22;2.17;2.0;https://www.flashscore.com/match/vPlEfnNG/#/match-summary
BRAZIL;SERIE B;ROUND 4;2013;04.06.2013;Paysandu PA;Parana;0;0;2;0;2.45;3.2;2.75;2.1;https://www.flashscore.com/match/va5NLOLF/#/match-summary
BRAZIL;SERIE B;ROUND 4;2013;04.06.2013;Palmeiras;Avai;1;1;2;1;1.62;3.75;4.92;1.76;https://www.flashscore.com/match/4tDAOQyc/#/match-summary
